season,name,season_total_score
2008.0,A Chopra,42.0
2008.0,A Kumble,13.0
2008.0,A Mishra,37.0
2008.0,A Mukund,0.0
2008.0,A Nehra,3.0
2008.0,A Nel,0.0
2008.0,A Symonds,161.0
2008.0,AA Noffke,9.0
2008.0,AB Agarkar,54.0
2008.0,AB Dinda,2.0
2008.0,AB de Villiers,95.0
2008.0,AC Gilchrist,436.0
2008.0,AD Mascarenhas,9.0
2008.0,AM Nayar,206.0
2008.0,AM Rahane,4.0
2008.0,AS Yadav,49.0
2008.0,Abdur Razzak,0.0
2008.0,B Akhil,46.0
2008.0,B Chipli,20.0
2008.0,B Lee,17.0
2008.0,BB McCullum,188.0
2008.0,BJ Hodge,12.0
2008.0,CK Kapugedera,16.0
2008.0,CL White,114.0
2008.0,CRD Fernando,2.0
2008.0,D Kalyankrishna,3.0
2008.0,D Salunkhe,33.0
2008.0,DB Das,103.0
2008.0,DB Ravi Teja,109.0
2008.0,DJ Bravo,178.0
2008.0,DJ Hussey,319.0
2008.0,DJ Thornely,39.0
2008.0,DNT Zoysa,11.0
2008.0,DP Vijaykumar,1.0
2008.0,DPMD Jayawardene,179.0
2008.0,DR Smith,45.0
2008.0,DS Kulkarni,2.0
2008.0,DS Lehmann,18.0
2008.0,DT Patil,13.0
2008.0,DW Steyn,2.0
2008.0,G Gambhir,534.0
2008.0,GC Smith,441.0
2008.0,GD McGrath,4.0
2008.0,H Das,2.0
2008.0,HH Gibbs,167.0
2008.0,Harbhajan Singh,30.0
2008.0,I Sharma,11.0
2008.0,IK Pathan,131.0
2008.0,Iqbal Abdulla,1.0
2008.0,J Arunkumar,23.0
2008.0,JA Morkel,241.0
2008.0,JDP Oram,18.0
2008.0,JH Kallis,199.0
2008.0,JR Hopes,221.0
2008.0,Joginder Sharma,16.0
2008.0,K Goel,76.0
2008.0,KC Sangakkara,320.0
2008.0,KD Karthik,145.0
2008.0,Kamran Akmal,128.0
2008.0,L Balaji,0.0
2008.0,L Ronchi,34.0
2008.0,LA Pomersbach,152.0
2008.0,LPC Silva,40.0
2008.0,LR Shukla,163.0
2008.0,LRPL Taylor,149.0
2008.0,M Kaif,176.0
2008.0,M Kartik,30.0
2008.0,M Muralitharan,0.0
2008.0,M Ntini,11.0
2008.0,M Rawat,34.0
2008.0,MA Khote,24.0
2008.0,MEK Hussey,168.0
2008.0,MF Maharoof,125.0
2008.0,MK Pandey,3.0
2008.0,MK Tiwary,104.0
2008.0,ML Hayden,189.0
2008.0,MM Patel,0.0
2008.0,MS Dhoni,414.0
2008.0,MS Gony,35.0
2008.0,MV Boucher,225.0
2008.0,Misbah-ul-Haq,117.0
2008.0,Mohammad Asif,3.0
2008.0,Mohammad Hafeez,64.0
2008.0,NK Patel,103.0
2008.0,P Kumar,112.0
2008.0,PA Patel,302.0
2008.0,PJ Sangwan,2.0
2008.0,PM Sarvesh Kumar,1.0
2008.0,PP Chawla,90.0
2008.0,PP Ojha,2.0
2008.0,PR Shah,34.0
2008.0,Pankaj Singh,5.0
2008.0,R Bhatia,34.0
2008.0,R Dravid,371.0
2008.0,R Vinay Kumar,25.0
2008.0,RA Jadeja,135.0
2008.0,RG Sharma,404.0
2008.0,RP Singh,27.0
2008.0,RR Powar,28.0
2008.0,RR Raje,8.0
2008.0,RR Sarwan,73.0
2008.0,RT Ponting,39.0
2008.0,RV Uthappa,320.0
2008.0,S Anirudha,1.0
2008.0,S Badrinath,192.0
2008.0,S Chanderpaul,25.0
2008.0,S Dhawan,340.0
2008.0,S Sohal,4.0
2008.0,S Sreesanth,0.0
2008.0,S Vidyut,145.0
2008.0,SA Asnodkar,311.0
2008.0,SB Bangar,47.0
2008.0,SB Joshi,6.0
2008.0,SB Styris,112.0
2008.0,SC Ganguly,349.0
2008.0,SD Chitnis,18.0
2008.0,SE Marsh,616.0
2008.0,SK Raina,421.0
2008.0,SK Trivedi,5.0
2008.0,SK Warne,70.0
2008.0,SM Katich,96.0
2008.0,SM Pollock,147.0
2008.0,SP Fleming,196.0
2008.0,SP Goswami,82.0
2008.0,SR Tendulkar,188.0
2008.0,SR Watson,472.0
2008.0,SS Tiwary,26.0
2008.0,ST Jayasuriya,514.0
2008.0,Salman Butt,193.0
2008.0,Shahid Afridi,81.0
2008.0,Shoaib Akhtar,2.0
2008.0,Shoaib Malik,52.0
2008.0,Sohail Tanvir,36.0
2008.0,T Kohli,10.0
2008.0,T Taibu,31.0
2008.0,TM Dilshan,104.0
2008.0,TM Srivastava,8.0
2008.0,U Kaul,0.0
2008.0,Umar Gul,39.0
2008.0,V Kohli,165.0
2008.0,V Sehwag,406.0
2008.0,VRV Singh,4.0
2008.0,VS Yeligati,2.0
2008.0,VVS Laxman,155.0
2008.0,VY Mahesh,15.0
2008.0,W Jaffer,115.0
2008.0,WA Mota,26.0
2008.0,WP Saha,159.0
2008.0,WPUJC Vaas,21.0
2008.0,Y Venugopal Rao,288.0
2008.0,YK Pathan,435.0
2008.0,YV Takawale,70.0
2008.0,Younis Khan,3.0
2008.0,Yuvraj Singh,299.0
2008.0,Z Khan,34.0
2009.0,A Chopra,11.0
2009.0,A Flintoff,62.0
2009.0,A Kumble,16.0
2009.0,A Mishra,26.0
2009.0,A Nehra,1.0
2009.0,A Singh,1.0
2009.0,A Symonds,249.0
2009.0,AA Bilakhia,67.0
2009.0,AB Agarkar,66.0
2009.0,AB Dinda,2.0
2009.0,AB McDonald,3.0
2009.0,AB de Villiers,465.0
2009.0,AC Gilchrist,495.0
2009.0,AD Mascarenhas,39.0
2009.0,AD Mathews,16.0
2009.0,AM Nayar,193.0
2009.0,AM Rahane,144.0
2009.0,AN Ghosh,7.0
2009.0,AS Raut,78.0
2009.0,Anureet Singh,0.0
2009.0,B Akhil,17.0
2009.0,B Lee,28.0
2009.0,BAW Mendis,0.0
2009.0,BB McCullum,285.0
2009.0,BJ Hodge,365.0
2009.0,C Nanda,0.0
2009.0,CH Gayle,171.0
2009.0,D du Preez,10.0
2009.0,DA Warner,163.0
2009.0,DB Ravi Teja,65.0
