name,wickets
YS Chahal,187
DJ Bravo,183
PP Chawla,179
A Mishra,173
R Ashwin,171
SL Malinga,170
B Kumar,170
SP Narine,163
RA Jadeja,152
Harbhajan Singh,150
JJ Bumrah,145
Rashid Khan,139
UT Yadav,136
Mohammed Shami,127
Sandeep Sharma,124
MM Sharma,119
AR Patel,112
HV Patel,111
A Nehra,106
K Rabada,106
R Vinay Kumar,105
TA Boult,105
Z Khan,102
DW Steyn,97
AD Russell,96
CH Morris,95
SR Watson,92
JD Unadkat,91
RP Singh,90
P Kumar,90
PP Ojha,89
SN Thakur,89
DS Kulkarni,86
JA Morkel,85
I Sharma,82
Imran Tahir,82
IK Pathan,80
Mohammed Siraj,78
M Morkel,77
L Balaji,76
MM Patel,74
DL Chahar,72
MJ McClenaghan,71
Kuldeep Yadav,71
R Bhatia,71
KH Pandya,70
KV Sharma,69
KA Pollard,69
AB Dinda,69
JH Kallis,65
SK Trivedi,65
RD Chahar,65
M Muralitharan,63
Shakib Al Hasan,63
CV Varun,62
MG Johnson,61
JP Faulkner,59
S Kaul,58
KK Ahmed,57
Arshdeep Singh,57
SK Warne,57
Avesh Khan,55
A Nortje,53
Ravi Bishnoi,53
JO Holder,53
HH Pandya,53
S Gopal,49
M Prasidh Krishna,49
S Nadeem,48
T Natarajan,48
NM Coulter-Nile,48
JC Archer,48
Mustafizur Rahman,47
TG Southee,47
SB Jakati,47
A Kumble,45
S Aravind,45
PJ Cummins,45
RJ Harris,45
VR Aaron,44
SM Curran,42
AJ Tye,42
YK Pathan,42
MC Henriques,42
Iqbal Abdulla,40
S Sreesanth,40
R Sharma,40
P Awana,39
MP Stoinis,39
DT Christian,38
PJ Sangwan,38
DE Bollinger,37
MS Gony,37
LH Ferguson,37
Yuvraj Singh,36
MR Marsh,36
Washington Sundar,36
M Ashwin,35
JR Hazlewood,35
WD Parnell,35
PWH de Silva,35
P Negi,34
MA Starc,34
MM Ali,33
KK Cooper,33
R Tewatia,32
NLTC Perera,31
M Kartik,31
GJ Maxwell,31
CJ Jordan,30
Shivam Mavi,30
CR Woakes,30
Azhar Mahmood,29
Umran Malik,29
AB Agarkar,29
M Markande,29
A Zampa,29
BA Stokes,28
PV Tambe,28
DP Nannes,28
DL Vettori,28
A Singh,28
AD Mathews,27
MF Maharoof,27
Harmeet Singh,27
DR Smith,26
R Dhawan,25
SK Raina,25
L Ngidi,25
TU Deshpande,25
J Botha,25
B Lee,25
AS Rajpoot,24
SW Tait,23
JP Duminy,23
NA Saini,23
GB Hogg,23
M Theekshana,23
Basil Thampi,22
STR Binny,22
BW Hilfenhaus,22
Sohail Tanvir,22
RE van der Merwe,21
M Pathirana,21
K Gowtham,21
VY Mahesh,21
C Sakariya,20
AS Joseph,20
A Symonds,20
JP Behrendorff,19
RP Meredith,19
J Suchith,19
Mujeeb Ur Rahman,19
KW Richardson,19
AD Mascarenhas,19
M Jansen,19
Harpreet Brar,18
IC Pandey,18
WPUJC Vaas,18
A Ashish Reddy,18
BB Sran,18
Anureet Singh,18
CH Gayle,18
NT Ellis,17
BJ Hodge,17
Bipul Sharma,17
Mohsin Khan,17
CRD Fernando,17
D Wiese,16
Mukesh Choudhary,16
Noor Ahmad,16
RG Sharma,15
Kartik Tyagi,15
LR Shukla,15
YA Abdulla,15
AC Thomas,14
A Madhwal,14
SJ Srivastava,14
DR Sams,14
Shahbaz Ahmed,14
JR Hopes,14
R Rampaul,14
Yash Dayal,13
S Lamichhane,13
Yash Thakur,13
CK Langeveldt,13
ST Jayasuriya,13
TK Curran,13
Mohammad Nabi,13
MJ Santner,13
RR Powar,13
CR Brathwaite,13
Ankit Sharma,12
BA Bhatt,12
Karanveer Singh,12
Umar Gul,12
Joginder Sharma,12
R McLaren,12
AN Ahmed,12
VRV Singh,12
GD McGrath,12
MA Wood,11
DJG Sammy,11
OC McCoy,11
SM Pollock,11
TS Mills,11
S Badree,11
Pankaj Singh,11
RS Bopara,11
AB McDonald,11
A Chandila,11
Naveen-ul-Haq,11
CJ Anderson,11
JL Pattinson,11
SC Ganguly,10
B Laughlin,10
Lalit Yadav,10
BCJ Cutting,10
K Kartikeya,10
DJ Hooda,10
Suyash Sharma,10
V Pratap Singh,10
N Rana,10
Kamran Khan,9
Abhishek Sharma,9
AM Nayar,9
KP Appanna,9
PVD Chameera,9
J Theron,9
V Vyshak,9
JDP Oram,9
V Shankar,9
MN Samuels,9
JEC Franklin,9
P Parameswaran,9
IS Sodhi,9
AG Murtaza,9
SMSM Senanayake,9
