name,matchesplayed,matcheswon,matcheslost,win_ratio,loss_ratio
Pune Warriors,46,12,33,0.2608695652173913,0.717391304347826
Deccan Chargers,72,27,44,0.375,0.6111111111111112
Kochi Tuskers Kerala,14,6,8,0.42857142857142855,0.5714285714285714
Punjab Kings,42,19,23,0.4523809523809524,0.5476190476190477
Gujarat Lions,28,13,15,0.4642857142857143,0.5357142857142857
Delhi Capitals,228,106,119,0.4649122807017544,0.5219298245614035
Kings XI Punjab,186,87,99,0.46774193548387094,0.532258064516129
Sunrisers Hyderabad,156,74,81,0.47435897435897434,0.5192307692307693
Royal Challengers Bangalore,228,110,112,0.4824561403508772,0.49122807017543857
Kolkata Knight Riders,228,112,112,0.49122807017543857,0.49122807017543857
Rajasthan Royals,200,99,96,0.495,0.48
Rising Pune Supergiant,28,14,14,0.5,0.5
Mumbai Indians,228,127,100,0.5570175438596491,0.43859649122807015
Chennai Super Kings,200,114,83,0.57,0.415
Lucknow Super Giants,28,17,10,0.6071428571428571,0.35714285714285715
Gujarat Titans,28,20,8,0.7142857142857143,0.2857142857142857
