venue,overs,wickets,over_to_wicket_ratio
"Sawai Mansingh Stadium, Jaipur",1968,512,3.84375
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2329,634,3.673501577287066
"Eden Gardens, Kolkata",3241,887,3.6538895152198423
"Sheikh Zayed Stadium, Abu Dhabi",1412,392,3.6020408163265305
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2715,754,3.6007957559681696
"Arun Jaitley Stadium, Delhi",3207,891,3.5993265993265995
"MA Chidambaram Stadium, Chepauk, Chennai",2971,830,3.5795180722891566
Dubai International Cricket Stadium,1789,500,3.578
"Maharashtra Cricket Association Stadium, Pune",1965,551,3.5662431941923773
Sharjah Cricket Stadium,1069,304,3.5164473684210527
"M.Chinnaswamy Stadium, Bengaluru",3207,916,3.5010917030567685
"Wankhede Stadium, Mumbai",4271,1229,3.4751830756712776
"Brabourne Stadium, Mumbai",1037,305,3.4
"Dr DY Patil Sports Academy, Navi Mumbai",777,240,3.2375
